Jeu,5
Musée-2Personnes,80
Musée-3Personnes,100
Musée-4Personnes,130
Musée-5Personnes,150
ChoufliHal-2Personnes,60
ChoufliHal-3Personnes,100
ChoufliHal-4Personnes,130
ChoufliHal-5Personnes,150
Express,2.5
Produit jdid,123.123
American,3
Capucin,3.2
Café Créme,3.2
Cappuccino,4.6
Café turc,3
Express Nespresso,4
Express Lavazza,4
American Nespresso,3
America Lavazza,3
Eau 0.5L,1.5
Eau 1.5L,3
Soda,3
Jus frais,6
Citronnade,4.8
Citro. Amandes,6.8
Virgin mojito,6
Blue mojito,7
Green mojito,7
Red mojito,7
Thé infusion,2.8
Thé -menthe,2.5
Thé -amandes,4
Kiwi punch Cocktail,8
Apple lemon Cockt.,7.5
Waterm. cool. Cockt.,7
Watermelon Smoothie,9
Strawberry Smoothie,9
Pineapple Smoothie,9
Fraise Milkshake,7.5
Vanille Milkshake,7.5
Chocolat Milkshake,7.5
Cheesecake Dessert,5
Saint Sebast. Dess.,6
Fondant Dessert,4.5
Tiramisu Dessert,6
Glace 2 boules,5